event_id,date,event_name,category,expected_direction,description
1,1990-08-02,Iraqi Invasion of Kuwait,Conflict,Increase,"Iraq invades Kuwait, triggering the Gulf War and fears over regional oil supply; Brent spikes sharply in the following weeks."
2,1997-07-02,Asian Financial Crisis Begins,Economic Shock,Decrease,"Collapse of the Thai baht triggers a wider Asian financial crisis, sharply reducing regional oil demand through 1998."
3,1998-12-01,1998 Oil Price Collapse (approx. trough),Economic Shock,Decrease,"Combined effect of the Asian crisis and OPEC oversupply drives Brent to roughly $10/barrel, among the lowest real prices of the dataset period."
4,2001-09-11,September 11 Attacks,Geopolitical,Decrease,"Terrorist attacks on the US trigger a global demand shock and market uncertainty, contributing to a short-term price dip."
5,2003-03-20,US-led Invasion of Iraq,Conflict,Increase,"Start of the Iraq War raises concerns over Middle East supply disruption and adds a geopolitical risk premium to prices."
6,2008-07-11,Pre-Financial-Crisis Price Peak,Economic Shock,Increase,"Brent reaches an all-time high near $147/barrel amid strong demand and speculative activity, just before the Global Financial Crisis hits."
7,2008-09-15,Lehman Brothers Collapse / Global Financial Crisis,Economic Shock,Decrease,"The Lehman Brothers bankruptcy triggers the Global Financial Crisis; oil demand collapses and Brent falls from ~$100+ to under $40 within months."
8,2011-02-15,Libyan Civil War / Arab Spring,Conflict,Increase,"Political uprisings across the Arab world and civil conflict in Libya disrupt regional oil production, pushing prices higher."
9,2014-06-19,2014 Pre-Collapse Price Peak,Market Structure,Increase,"Brent peaks near $115/barrel before a sustained decline driven by rising US shale output and weakening global demand."
10,2014-11-27,OPEC Declines to Cut Production,OPEC Policy,Decrease,"OPEC's Vienna meeting maintains output at 30 million bpd despite oversupply, accelerating the 2014-2016 price collapse; Brent falls over $6 in a single day."
11,2016-11-30,OPEC+ Vienna Production Cut Agreement,OPEC Policy,Increase,"OPEC and non-OPEC producers (including Russia) agree to their first coordinated production cut in years, helping stabilize prices after the 2014-2016 collapse."
12,2018-05-08,US Withdrawal from Iran Nuclear Deal (JCPOA),Sanctions,Increase,"The US announces withdrawal from the JCPOA and plans to reimpose sanctions on Iranian oil exports, raising supply concerns."
13,2018-11-05,US Reimposes Sanctions on Iranian Oil Exports,Sanctions,Increase,"Formal reimposition of US sanctions targeting Iran's oil sector tightens expected global supply."
14,2020-03-08,Saudi-Russia Oil Price War Begins,OPEC Policy,Decrease,"Russia's refusal to deepen OPEC+ cuts leads Saudi Arabia to slash official selling prices and raise output, causing Brent's steepest single-day drop in decades."
15,2020-04-12,OPEC+ Record Production Cut Agreement,OPEC Policy,Increase,"Brokered partly by the US, OPEC+ agrees to cut ~9.7 million bpd amid collapsing COVID-19 demand, the largest coordinated cut in history."
16,2022-02-24,Russian Invasion of Ukraine,Conflict,Increase,"Russia's full-scale invasion of Ukraine triggers Western sanctions on Russian energy exports and major supply-security concerns, pushing Brent above $100/barrel."
